timestamp,strategy_id,position_size,unrealized_pnl,realized_pnl,total_trades,win_trades,current_drawdown
2025-10-08 22:53:03.408485,vb_001,0.06075749488973486,-2364.9648596096076,5952.510743517858,39,77,-0.01350203732239847
2025-10-08 22:53:03.408485,ma_001,0.07595976040740064,932.7933054732111,4798.3394324262135,14,64,-0.048186797795552794
2025-10-08 22:53:04.415996,vb_001,0.020679040357019354,18597.64117405656,-4258.441215216792,46,28,-0.02731148495967886
2025-10-08 22:53:04.415996,ma_001,0.036608231551110385,-6769.9724033680695,-2834.160236258698,49,76,-0.043800125162783414
2025-10-08 22:53:05.470654,vb_001,0.04989950846473014,-3335.72568441202,11489.915606120052,40,56,-0.029701861993232367
2025-10-08 22:53:05.470654,ma_001,0.03491463169822917,3971.7925426471265,8729.992720764127,46,11,-0.016204356553181816
2025-10-08 22:53:06.472185,vb_001,0.05979024092577367,15954.810594343257,-1063.3314182446397,34,72,-0.030930556867728727
2025-10-08 22:53:06.472185,ma_001,0.0874491830850343,2683.858493825641,11697.326783869765,65,10,-0.03838978148761736
2025-10-08 22:53:07.480158,vb_001,0.03061889959166221,15700.087799190183,-800.0052402749325,38,73,-0.004712899752706022
2025-10-08 22:53:07.480158,ma_001,0.09448638495082275,10492.152085641228,-3386.0412046075085,54,19,-0.03126110398465087
2025-10-08 22:53:08.517197,vb_001,0.0021037727869590464,-3400.637323991895,-895.0098076925397,74,48,-0.011807198087363344
2025-10-08 22:53:08.517197,ma_001,0.0048851887580927626,-9791.49755917936,5804.610387224873,19,28,-0.03881143336964263
2025-10-08 22:53:09.586825,vb_001,0.041518093553244775,9443.984404578187,2738.263940576704,65,75,-0.049158554854199545
2025-10-08 22:53:09.586825,ma_001,0.0228842662957652,-3607.921153978533,9305.123090215313,32,36,-0.026972629398
2025-10-08 22:53:10.620660,vb_001,0.059686854394684644,13405.335342042858,12170.946491659124,86,57,-0.04826649753725093
2025-10-08 22:53:10.620660,ma_001,0.043906599457897134,14261.513624995634,10267.089049953753,95,68,-0.028033471826581387
2025-10-08 22:53:11.663043,vb_001,0.09455624652058088,451.3950324143516,14134.365736207114,14,20,-0.0011178927974828043
