order_id,symbol,side,amount,price,status,strategy,created_at,updated_at,trade_value,trade_date,trade_hour,trade_day_of_week,pnl,pnl_percentage,holding_period
order_0033,KRW-ADA,SELL,0.005052,41803463.0,filled,ma_crossover,2025-09-09 06:23:15.534349,2025-09-28 20:11:15,211191.095076,2025-09-09,6,Tuesday,10543.647526516734,4.992467851318475,282
order_0080,KRW-BTC,SELL,0.007206,44041205.0,filled,rsi_strategy,2025-09-09 06:34:15.534349,2025-09-28 20:11:15,317360.92323,2025-09-09,6,Tuesday,-6987.771054022152,-2.201837259263935,262
order_0050,KRW-BTC,SELL,0.001274,66958927.0,filled,rsi_strategy,2025-09-09 10:08:15.534349,2025-09-28 20:11:15,85305.672998,2025-09-09,10,Tuesday,-2768.912927341092,-3.245871968451629,980
order_0052,KRW-ETH,BUY,0.003053,44417844.0,filled,volatility_breakout,2025-09-09 20:47:15.534349,2025-09-28 20:11:15,135607.677732,2025-09-09,20,Tuesday,0.0,0.0,0
order_0085,KRW-BTC,BUY,0.009157,63361417.0,filled,volatility_breakout,2025-09-10 18:00:15.534349,2025-09-28 20:11:15,580200.495469,2025-09-10,18,Wednesday,0.0,0.0,0
order_0038,KRW-ADA,SELL,0.002919,43253314.0,filled,ma_crossover,2025-09-11 02:20:15.534349,2025-09-28 20:11:15,126256.42356600001,2025-09-11,2,Thursday,7091.557263653683,5.616789279593842,304
order_0024,KRW-ETH,SELL,0.003378,37278636.0,filled,rsi_strategy,2025-09-11 12:49:15.534349,2025-09-28 20:11:15,125927.232408,2025-09-11,12,Thursday,-9026.672858913784,-7.168165841736017,1233
order_0068,KRW-BTC,SELL,0.0027,57096894.0,filled,rsi_strategy,2025-09-11 13:06:15.534349,2025-09-28 20:11:15,154161.61380000002,2025-09-11,13,Thursday,-3390.914549449675,-2.199584232329614,986
order_0075,KRW-ADA,SELL,0.00556,44335300.0,filled,rsi_strategy,2025-09-11 18:34:15.534349,2025-09-28 20:11:15,246504.26799999998,2025-09-11,18,Thursday,-10161.496401979477,-4.122239539470967,286
order_0087,KRW-ADA,SELL,0.00277,44826228.0,filled,volatility_breakout,2025-09-12 05:44:15.534349,2025-09-28 20:11:15,124168.65156,2025-09-12,5,Friday,10947.039990283003,8.816267111504583,146
order_0002,KRW-BTC,BUY,0.00582,63579879.0,filled,rsi_strategy,2025-09-12 21:42:15.534349,2025-09-28 20:11:15,370034.89577999996,2025-09-12,21,Friday,0.0,0.0,0
order_0096,KRW-BTC,BUY,0.00568,43388266.0,filled,rsi_strategy,2025-09-13 05:19:15.534349,2025-09-28 20:11:15,246445.35088,2025-09-13,5,Saturday,0.0,0.0,0
order_0031,KRW-ADA,BUY,0.009909,68753360.0,filled,volatility_breakout,2025-09-14 09:26:15.534349,2025-09-28 20:11:15,681277.04424,2025-09-14,9,Sunday,0.0,0.0,0
order_0001,KRW-ETH,BUY,0.009674,66948841.0,filled,volatility_breakout,2025-09-15 10:06:15.534349,2025-09-28 20:11:15,647663.087834,2025-09-15,10,Monday,0.0,0.0,0
order_0005,KRW-BTC,SELL,0.005678,67524265.0,filled,volatility_breakout,2025-09-15 17:56:15.534349,2025-09-28 20:11:15,383402.77667,2025-09-15,17,Monday,23560.077723767827,6.1449940264898775,7
order_0092,KRW-ETH,SELL,0.00182,34798069.0,filled,rsi_strategy,2025-09-16 01:13:15.534349,2025-09-28 20:11:15,63332.48558,2025-09-16,1,Tuesday,4916.230750086208,7.762573511939855,1092
order_0028,KRW-BTC,SELL,0.00507,60392030.0,filled,volatility_breakout,2025-09-19 09:52:15.534349,2025-09-28 20:11:15,306187.5921,2025-09-19,9,Friday,21908.079718894067,7.155116759838834,1239
order_0020,KRW-ETH,SELL,0.004841,52357143.0,filled,volatility_breakout,2025-09-19 19:42:15.534349,2025-09-28 20:11:15,253460.929263,2025-09-19,19,Friday,10271.519829150977,4.0525061827153985,751
order_0034,KRW-ETH,SELL,0.005498,50592946.0,filled,volatility_breakout,2025-09-20 14:34:15.534349,2025-09-28 20:11:15,278160.017108,2025-09-20,14,Saturday,-12982.746811086141,-4.667366268548001,596
order_0074,KRW-ADA,SELL,0.001317,55387701.0,filled,volatility_breakout,2025-09-20 16:28:15.534349,2025-09-28 20:11:15,72945.602217,2025-09-20,16,Saturday,-5809.686355552475,-7.9644093392631214,851
order_0059,KRW-ADA,BUY,0.002148,51025151.0,filled,rsi_strategy,2025-09-21 02:02:15.534349,2025-09-28 20:11:15,109602.024348,2025-09-21,2,Sunday,0.0,0.0,0
order_0036,KRW-ADA,SELL,0.003873,42774631.0,filled,rsi_strategy,2025-09-21 05:30:15.534349,2025-09-28 20:11:15,165666.145863,2025-09-21,5,Sunday,10377.596950170953,6.264162720820979,308
order_0013,KRW-BTC,SELL,0.00701,56649986.0,filled,ma_crossover,2025-09-21 06:47:15.534349,2025-09-28 20:11:15,397116.40186,2025-09-21,6,Sunday,25048.012309761012,6.307473625476562,659
order_0004,KRW-ADA,BUY,0.00814,51358248.0,filled,rsi_strategy,2025-09-22 13:46:15.534349,2025-09-28 20:11:15,418056.13872,2025-09-22,13,Monday,0.0,0.0,0
order_0008,KRW-BTC,SELL,0.001659,50701058.0,filled,ma_crossover,2025-09-22 19:33:15.534349,2025-09-28 20:11:15,84113.05522200001,2025-09-22,19,Monday,2295.7623832313598,2.7293770000056976,1090
order_0019,KRW-BTC,BUY,0.006082,42156644.0,filled,ma_crossover,2025-09-23 17:20:15.534349,2025-09-28 20:11:15,256396.708808,2025-09-23,17,Tuesday,0.0,0.0,0
order_0063,KRW-ADA,BUY,0.00842,56122632.0,filled,rsi_strategy,2025-09-24 00:20:15.534349,2025-09-28 20:11:15,472552.56144,2025-09-24,0,Wednesday,0.0,0.0,0
